y_true,y_pred
120.39,166.19
79.52,121.64
275.53,266.45
154.06,177.47
154.06,167.55
156.48,181.69
156.48,162.72
161.12,183.42
161.12,157.77
168.9,184.85
168.9,152.79
181.24,187.84
181.24,148.64
185.46,125.45
282.79,235.11
101.18,143.77
177.73,199.09
187.31,221.92
180.69,201.27
145.27,146.56
147.03,157.63
326.98,291.36
325.61,293.03
330.71,289.63
329.62,294.58
148.43,145.21
336.0,290.54
338.72,296.24
342.8,289.81
355.39,301.99
351.35,289.14
383.35,303.13
144.63,174.12
146.66,174.48
143.59,177.36
141.23,181.96
141.23,179.65
141.46,186.06
141.46,179.02
141.85,190.68
141.85,178.39
142.42,195.35
142.42,177.76
143.18,199.74
143.18,177.13
141.16,183.64
141.61,178.83
141.83,190.64
142.39,177.37
143.47,193.83
143.4,176.73
146.52,200.65
144.59,175.26
151.65,207.43
145.91,176.5
141.38,183.09
141.38,177.48
142.04,191.17
142.04,176.83
143.09,196.1
143.09,173.91
144.53,203.98
144.53,172.66
146.31,207.63
146.31,171.62
141.6,182.13
141.6,178.69
142.98,185.19
142.98,177.68
145.5,189.44
145.5,175.81
149.48,196.38
149.48,175.39
155.43,198.81
155.43,173.53
143.06,178.26
140.74,182.78
145.97,179.18
142.46,182.96
149.57,179.84
147.19,185.39
153.6,181.95
156.18,187.79
157.89,181.98
171.12,190.15
141.97,182.34
141.97,180.18
144.5,188.15
144.5,179.93
149.02,195.93
149.02,180.37
156.05,202.17
156.05,178.93
166.3,210.02
166.3,178.85
141.16,180.43
208.94,242.7
209.22,200.26
208.18,212.25
209.08,223.31
221.14,213.5
339.13,339.43
163.99,184.7
163.99,179.98
164.76,189.18
164.76,177.68
343.13,328.3
166.27,195.82
166.27,176.46
168.86,206.89
168.86,175.98
173.12,216.57
173.12,172.97
352.22,359.57
351.97,351.55
382.88,344.18
169.36,183.0
170.0,196.26
173.17,167.32
180.09,203.06
186.4,194.32
167.31,223.14
167.31,222.12
167.75,224.58
167.75,221.86
168.86,236.24
168.86,220.77
170.74,252.34
170.74,219.95
167.93,222.03
167.93,220.99
169.45,225.05
169.45,223.13
172.7,231.76
172.7,218.23
177.67,242.2
177.67,213.64
170.18,224.9
170.18,224.29
178.89,231.97
178.89,228.44
211.44,266.98
211.44,235.87
307.81,300.59
307.81,248.28
173.02,229.99
174.41,218.91
191.46,241.49
182.65,220.35
244.48,273.56
355.09,257.66
206.79,208.82
169.56,225.68
169.56,226.06
178.1,224.73
178.1,228.0
206.42,221.89
206.42,240.75
304.66,233.05
304.66,266.47
170.86,221.55
169.52,224.94
184.04,227.25
178.52,224.68
233.64,246.81
208.25,232.74
316.03,238.55
167.1,221.03
224.2,214.9
224.2,213.97
224.77,216.85
224.77,213.45
226.0,222.06
226.0,213.14
230.13,268.99
263.33,232.66
228.84,245.01
231.05,225.6
231.75,275.4
229.09,263.82
230.71,240.2
233.02,219.63
236.83,261.13
239.84,206.67
258.42,302.88
248.93,192.24
274.48,168.83
252.3,210.21
251.6,270.15
251.43,206.22
250.94,226.52
348.24,191.02
312.54,324.53
380.06,289.86
452.61,361.57
389.54,341.56
208.86,255.14
208.86,208.86
379.55,340.02
382.65,304.18
256.26,295.44
440.29,269.04
200.48,201.74
378.45,356.67
378.45,352.79
383.8,361.42
383.8,350.86
397.17,367.3
397.16,348.8
528.49,390.22
528.44,333.46
396.19,261.54
389.41,302.02
204.42,193.86
204.44,182.54
215.48,210.48
215.52,180.23
246.43,227.62
246.44,177.09
389.83,354.8
389.26,338.1
393.09,230.16
389.62,336.41
378.78,311.63
384.57,338.01
203.76,212.21
378.17,320.01
381.04,301.2
403.66,258.92
378.44,320.93
216.56,219.61
390.43,282.21
390.43,271.36
390.92,289.28
390.92,247.13
391.97,294.97
391.97,211.56
397.88,296.61
397.88,181.45
195.11,220.25
237.19,215.49
271.42,257.95
271.42,246.45
271.63,273.56
271.63,234.47
272.14,272.81
272.14,219.5
275.44,266.85
275.44,198.95
271.15,253.79
273.32,219.63
265.48,262.06
258.7,267.67
274.59,314.94
254.68,304.17
254.68,291.14
259.96,319.6
259.98,284.03
273.76,332.23
274.28,281.16
420.02,372.89
466.26,291.78
254.33,288.37
274.04,287.78
271.16,248.24
275.6,260.51
271.99,260.57
257.8,266.65
269.62,225.12
271.32,242.44
384.75,299.22
229.44,247.9
225.98,241.35
237.15,252.55
236.83,236.83
262.23,213.23
316.82,253.37
290.68,225.54
513.42,397.75
233.78,249.42
233.78,243.85
257.47,262.67
257.47,245.09
238.0,256.67
235.15,241.9
273.62,263.17
261.0,242.84
222.65,240.44
222.65,202.75
222.61,241.81
222.61,195.53
224.33,248.2
224.33,178.65
236.24,262.24
236.24,165.99
385.65,328.2
385.65,309.12
391.41,344.07
391.29,311.65
456.14,351.27
451.24,324.76
224.38,256.05
223.75,227.52
226.52,256.92
226.16,214.48
234.6,247.2
238.43,197.35
247.16,240.55
256.08,165.33
225.97,264.13
225.97,224.67
232.35,265.8
232.35,214.16
275.8,265.12
275.8,205.51
420.77,334.41
416.21,298.78
416.21,201.8
222.78,241.86
404.35,310.23
216.06,260.24
210.39,285.03
393.87,264.15
214.47,260.27
389.49,314.81
394.33,277.01
224.14,242.67
224.14,241.65
227.29,247.51
227.29,246.31
245.96,271.15
245.96,250.69
292.4,286.23
292.4,259.72
