y_true,y_pred
323.46,180.47
123.26,183.51
271.13,198.39
290.24,220.91
105.36,203.85
114.96,229.0
308.66,213.88
309.66,200.57
284.94,190.72
149.77,175.83
203.23,197.29
112.23,194.76
135.59,196.03
124.35,195.61
154.55,183.22
156.28,234.57
298.06,190.77
101.08,198.31
327.54,172.45
154.1,183.22
185.39,247.85
329.67,183.14
145.65,210.13
332.31,209.82
192.04,224.93
192.48,241.43
155.19,183.28
326.72,204.47
248.55,201.13
198.87,196.51
177.03,237.54
192.33,226.36
322.13,204.03
188.18,225.86
180.72,201.29
186.74,185.68
148.43,215.07
186.04,188.31
344.18,223.08
149.77,178.49
329.67,248.13
146.24,223.97
177.1,209.88
230.01,244.0
144.27,218.31
326.72,229.66
392.31,215.04
327.35,207.36
274.48,183.49
392.31,253.66
331.83,241.49
329.58,209.78
145.65,209.01
174.74,235.98
207.43,242.31
321.54,230.59
180.42,205.35
162.41,209.01
153.37,231.27
145.27,198.24
145.51,195.04
144.67,221.69
333.68,200.84
339.01,252.57
144.27,201.08
352.61,198.33
174.6,201.87
238.39,249.61
339.56,261.06
350.43,232.94
167.7,228.08
345.73,287.64
210.38,257.2
181.05,247.97
175.98,263.41
167.27,241.73
373.3,232.23
358.89,280.95
224.27,239.33
356.57,241.36
347.12,250.49
169.39,235.31
348.79,261.66
165.88,235.64
217.65,241.85
458.4,261.17
218.04,265.74
192.34,275.48
346.51,255.36
179.37,263.17
186.6,230.68
180.09,228.52
346.06,253.68
181.42,253.62
176.9,226.02
164.48,231.94
165.88,230.48
216.1,253.82
174.85,264.63
178.0,265.64
251.26,261.81
245.16,286.13
208.49,249.69
361.19,263.76
216.1,223.17
169.36,235.1
351.21,254.73
220.48,265.28
198.52,210.62
339.88,261.37
387.38,247.7
174.75,262.13
212.93,256.45
172.71,245.55
420.11,298.05
216.87,284.03
432.04,277.21
427.86,263.27
165.07,231.23
351.88,275.17
339.88,243.75
216.1,278.83
340.39,244.43
226.68,274.13
348.79,269.22
347.74,286.35
211.7,272.35
209.71,277.8
231.18,266.78
406.23,302.37
211.16,234.7
377.93,299.46
229.45,271.21
199.8,339.13
210.78,269.98
203.4,286.79
235.17,282.61
379.13,313.61
206.99,261.4
277.7,286.42
396.31,341.77
204.07,262.68
401.68,313.34
474.5,280.16
197.82,219.86
208.59,299.18
257.75,273.81
261.6,252.19
194.69,257.03
253.82,238.35
205.61,302.25
202.24,257.16
205.68,247.1
383.34,271.9
212.91,316.47
204.7,331.38
209.22,254.71
206.51,223.95
199.26,295.54
242.99,304.73
203.45,250.64
196.64,306.71
241.9,253.88
233.0,280.63
197.58,257.52
401.3,340.66
220.87,276.66
395.25,249.78
247.39,254.27
260.01,305.6
332.0,288.07
197.49,226.33
233.02,275.49
260.56,291.11
435.69,297.19
233.93,257.38
247.9,262.33
201.1,258.05
240.72,289.8
336.08,321.13
337.58,268.56
228.67,261.1
201.46,256.44
231.31,233.92
231.18,262.33
229.15,266.78
378.74,265.24
252.5,256.66
224.42,253.48
380.96,272.97
379.12,314.48
213.84,315.49
221.34,311.5
213.44,280.08
198.33,223.97
240.26,240.0
250.26,266.17
199.66,218.6
267.43,264.78
251.07,251.57
242.62,299.46
197.82,216.71
419.94,294.65
208.46,308.44
241.6,329.04
378.02,262.67
215.75,286.06
227.63,236.15
385.57,254.31
247.82,341.66
389.83,247.56
379.44,292.23
391.0,281.34
207.41,278.23
400.44,274.42
219.79,258.44
232.7,277.81
270.02,270.4
197.88,237.64
379.58,247.74
201.79,234.83
195.11,297.47
247.84,314.77
392.62,236.07
231.55,270.05
204.62,266.88
390.47,260.3
248.97,238.04
207.53,228.71
237.29,221.19
235.89,251.53
386.19,261.18
247.94,294.77
204.15,262.76
207.56,269.52
229.78,264.54
378.47,251.32
205.15,307.69
201.06,317.99
239.71,254.81
252.08,269.36
202.9,230.47
217.79,225.45
231.55,285.4
269.41,275.88
277.66,317.16
385.59,338.83
254.91,271.57
388.48,274.76
479.96,337.06
388.73,270.69
405.14,283.46
269.64,291.95
258.54,382.66
311.19,327.33
443.57,300.18
321.44,286.28
443.7,331.03
320.83,317.23
280.23,268.96
212.24,255.65
248.74,282.62
239.53,313.89
256.26,287.95
271.29,298.74
477.49,335.85
269.28,308.97
256.26,271.07
265.08,264.52
227.66,326.11
296.79,283.84
496.82,265.6
327.69,289.46
446.83,286.97
280.77,272.67
278.81,319.88
258.48,276.35
273.22,332.36
408.28,328.95
263.1,281.97
233.39,281.15
488.81,319.02
388.24,270.79
228.27,286.63
223.14,273.01
270.1,261.99
395.14,343.27
317.14,338.54
273.4,354.64
223.14,256.92
211.77,326.01
236.64,289.95
271.46,269.34
408.84,326.08
389.02,264.54
285.36,309.57
364.11,276.04
256.39,278.81
263.57,275.98
288.15,356.93
258.11,286.4
389.39,349.46
270.09,284.39
271.46,267.92
420.24,327.99
418.74,305.72
273.17,350.53
281.21,249.28
264.75,247.17
212.22,366.57
256.5,245.89
280.17,297.66
424.09,226.74
223.1,272.78
436.54,305.29
212.03,285.63
273.73,340.37
257.59,281.56
281.48,379.45
277.61,344.12
217.32,320.43
296.63,351.19
391.86,293.79
390.75,374.64
478.12,322.27
481.29,321.71
258.03,286.33
319.93,372.56
260.5,279.28
309.2,289.99
447.32,366.49
284.97,236.74
285.85,335.48
395.15,329.77
