y_true,y_pred
120.39,119.31
79.52,84.95
275.53,275.82
154.06,149.46
154.06,149.21
156.48,150.65
156.48,150.37
161.12,153.44
161.12,154.49
168.9,157.29
168.9,177.92
181.24,163.85
181.24,197.45
185.46,205.86
282.79,282.29
101.18,103.68
177.73,182.69
187.31,200.63
180.69,175.07
145.27,141.46
147.03,147.86
326.98,327.49
325.61,331.91
330.71,328.24
329.62,337.72
148.43,145.77
336.0,334.97
338.72,341.41
342.8,350.49
355.39,355.33
351.35,356.08
383.35,365.28
144.63,144.92
146.66,147.29
143.59,146.55
141.23,149.69
141.23,149.41
141.46,148.79
141.46,149.84
141.85,147.87
141.85,150.31
142.42,147.47
142.42,150.25
143.18,148.28
143.18,150.62
141.16,146.48
141.61,145.13
141.83,146.46
142.39,150.42
143.47,143.87
143.4,150.2
146.52,145.5
144.59,150.22
151.65,147.89
145.91,151.98
141.38,142.55
141.38,142.95
142.04,144.35
142.04,145.24
143.09,142.53
143.09,144.47
144.53,144.31
144.53,142.52
146.31,145.03
146.31,142.46
141.6,144.26
141.6,143.75
142.98,144.06
142.98,143.96
145.5,146.53
145.5,144.41
149.48,149.51
149.48,154.32
155.43,154.9
155.43,155.32
143.06,147.78
140.74,143.48
145.97,146.93
142.46,144.11
149.57,144.93
147.19,148.1
153.6,151.29
156.18,160.14
157.89,152.52
171.12,195.91
141.97,138.15
141.97,140.92
144.5,138.14
144.5,143.5
149.02,148.96
149.02,162.48
156.05,157.26
156.05,175.07
166.3,172.58
166.3,191.31
141.16,149.41
208.94,204.91
209.22,209.38
208.18,207.82
209.08,210.68
221.14,216.09
339.13,339.83
163.99,160.1
163.99,162.72
164.76,162.0
164.76,172.7
343.13,342.36
166.27,164.28
166.27,173.94
168.86,167.11
168.86,175.37
173.12,178.33
173.12,181.42
352.22,354.18
351.97,358.85
382.88,417.94
169.36,171.86
170.0,169.66
173.17,174.23
180.09,179.14
186.4,202.95
167.31,174.47
167.31,171.3
167.75,172.28
167.75,171.7
168.86,171.69
168.86,172.72
170.74,175.72
170.74,173.3
167.93,171.28
167.93,172.86
169.45,170.45
169.45,173.47
172.7,159.16
172.7,158.01
177.67,163.03
177.67,160.73
170.18,162.99
170.18,170.65
178.89,170.25
178.89,176.29
211.44,190.29
211.44,191.54
307.81,247.03
307.81,272.03
173.02,172.45
174.41,164.18
191.46,189.85
182.65,164.3
244.48,251.76
355.09,323.5
206.79,172.85
169.56,169.88
169.56,169.52
178.1,178.74
178.1,175.86
206.42,195.16
206.42,185.99
304.66,293.48
304.66,244.6
170.86,170.76
169.52,175.15
184.04,183.33
178.52,184.42
233.64,227.78
208.25,217.25
316.03,327.6
167.1,172.01
224.2,222.85
224.2,222.14
224.77,222.91
224.77,222.52
226.0,223.36
226.0,225.11
230.13,227.9
263.33,269.06
228.84,226.67
231.05,233.01
231.75,237.38
229.09,227.79
230.71,234.59
233.02,228.99
236.83,247.26
239.84,231.2
258.42,283.66
248.93,236.7
274.48,281.43
252.3,251.07
251.6,254.41
251.43,252.75
250.94,250.87
348.24,353.15
312.54,328.92
380.06,370.77
452.61,441.6
389.54,385.03
208.86,194.39
208.86,190.63
379.55,374.97
382.65,371.89
256.26,266.57
440.29,433.83
200.48,200.5
378.45,376.86
378.45,376.33
383.8,384.06
383.8,381.19
397.17,393.39
397.16,398.88
528.49,517.69
528.44,496.82
396.19,393.45
389.41,389.48
204.42,204.43
204.44,205.32
215.48,211.23
215.52,227.58
246.43,235.72
246.44,254.3
389.83,386.81
389.26,389.59
393.09,387.38
389.62,386.05
378.78,375.11
384.57,387.98
203.76,202.26
378.17,378.03
381.04,377.44
403.66,402.2
378.44,376.62
216.56,219.32
390.43,390.06
390.43,390.08
390.92,387.95
390.92,390.27
391.97,390.95
391.97,391.95
397.88,385.94
397.88,394.52
195.11,198.49
237.19,228.79
271.42,273.62
271.42,271.56
271.63,273.8
271.63,272.88
272.14,274.1
272.14,276.21
275.44,278.69
275.44,284.78
271.15,270.36
273.32,274.1
265.48,250.13
258.7,255.16
274.59,267.11
254.68,247.77
254.68,248.18
259.96,254.96
259.98,247.28
273.76,263.08
274.28,255.43
420.02,419.06
466.26,351.95
254.33,246.86
274.04,269.64
271.16,267.93
275.6,279.37
271.99,271.85
257.8,254.42
269.62,265.36
271.32,268.51
384.75,385.37
229.44,231.44
225.98,231.43
237.15,253.44
236.83,242.37
262.23,269.54
316.82,365.46
290.68,291.65
513.42,526.45
233.78,238.45
233.78,250.08
257.47,263.89
257.47,267.46
238.0,241.78
235.15,246.79
273.62,275.77
261.0,262.98
222.65,229.75
222.65,225.22
222.61,229.79
222.61,227.12
224.33,235.6
224.33,234.03
236.24,240.77
236.24,294.87
385.65,390.51
385.65,377.22
391.41,398.98
391.29,380.82
456.14,422.47
451.24,401.7
224.38,260.41
223.75,228.36
226.52,267.7
226.16,230.48
234.6,286.89
238.43,250.31
247.16,343.85
256.08,289.37
225.97,240.66
225.97,235.35
232.35,246.2
232.35,234.84
275.8,321.09
275.8,287.44
420.77,441.44
416.21,414.5
416.21,395.93
222.78,225.96
404.35,410.41
216.06,210.2
210.39,208.06
393.87,397.19
214.47,207.81
389.49,391.47
394.33,398.96
224.14,229.35
224.14,222.03
227.29,232.05
227.29,225.8
245.96,239.57
245.96,238.08
292.4,273.6
292.4,297.62
