y_true,y_pred
309.66,325.75
392.57,399.71
269.58,273.36
222.7,230.46
277.61,285.95
377.8,374.13
204.54,202.93
232.47,235.62
277.89,276.09
202.04,205.61
385.41,389.52
102.58,105.59
192.56,191.52
361.19,368.92
201.3,208.89
273.12,278.53
285.37,294.32
278.99,275.1
316.03,313.18
145.27,149.19
399.97,411.98
306.27,298.43
330.52,335.23
194.91,199.49
381.32,382.38
217.62,220.72
400.8,397.23
269.42,271.15
178.2,178.76
408.03,402.53
261.56,266.77
251.49,253.68
225.86,229.86
336.74,338.8
192.48,200.09
269.84,273.55
277.62,277.68
325.49,326.07
204.53,198.45
259.97,255.26
382.1,380.84
342.35,321.74
386.38,383.44
200.25,204.85
353.59,356.24
401.05,396.53
441.07,425.21
326.72,324.53
222.7,221.39
211.7,217.18
300.23,286.9
170.75,166.94
177.75,173.91
420.11,394.69
388.48,382.88
389.62,383.86
392.8,390.4
210.78,205.46
432.38,441.43
205.37,205.41
326.26,326.84
345.73,341.4
287.58,289.12
231.55,230.28
260.34,261.08
390.68,393.02
273.99,262.81
391.0,387.25
181.94,181.48
207.81,205.8
392.19,389.02
288.35,295.49
264.97,262.21
213.92,212.75
239.34,242.72
177.03,175.5
145.51,143.69
270.29,266.13
202.77,205.46
210.72,203.03
208.59,206.49
366.38,371.62
184.99,181.86
258.53,258.79
213.44,214.75
440.32,467.0
227.0,232.68
293.09,299.19
277.66,278.66
343.5,357.27
231.55,236.29
161.61,157.29
224.47,227.09
205.84,206.5
426.11,452.82
219.24,218.08
379.12,381.25
232.79,238.14
204.24,203.29
248.97,251.91
217.79,217.86
153.37,150.31
401.68,413.11
323.21,348.57
411.34,423.73
355.19,350.11
265.26,271.5
106.56,104.85
331.83,332.49
102.58,100.81
381.64,384.1
232.81,232.61
192.32,188.6
210.57,213.08
111.07,113.6
180.68,179.36
277.7,279.48
360.42,366.49
199.66,197.47
194.69,197.63
206.93,204.13
281.02,275.44
279.29,279.03
231.77,233.94
309.37,301.04
260.74,260.32
439.04,444.44
258.54,254.93
357.54,351.92
293.71,295.64
273.17,270.36
206.74,205.03
311.19,300.36
510.38,470.65
324.49,313.86
508.04,514.06
149.73,141.46
319.93,324.19
130.72,133.51
238.39,250.04
609.83,618.31
166.51,160.32
